"t / s";"CH1 / V";"CH2 / V"
0;-0,28602;0,09572
1e-05;-0,296317;0,09876
2e-05;-0,300356;0,09888
3e-05;-0,301069;0,0994
4e-05;-0,30099;0,0998
5e-05;-0,301069;0,10008
6e-05;-0,301069;0,10048
7e-05;-0,303762;0,10064
8e-05;-0,30701;0,10132
9e-05;-0,30804;0,10136
0,0001;-0,35105;0,11568
0,00011;-0,36602;0,12072
0,00012;-0,365703;0,12044
0,00013;-0,365703;0,12004
0,00014;-0,367446;0,12156
0,00015;-0,368;0,11964
0,00016;-0,369663;0,12148
0,00017;-0,368792;0,1194
0,00018;-0,370139;0,1218
0,00019;-0,371248;0,11984
0,0002;-0,372594;0,12044
0,00021;-0,372832;0,12056
0,00022;-0,372436;0,11992
0,00023;-0,372673;0,11984
0,00024;-0,374178;0,12056
0,00025;-0,376871;0,11936
0,00026;-0,376317;0,1208
0,00027;-0,378297;0,1186
0,00028;-0,379723;0,12056
0,00029;-0,37996;0,11996
0,0003;-0,380119;0,11928
0,00031;-0,380198;0,11972
0,00032;-0,38004;0,11856
0,00033;-0,380277;0,11936
0,00034;-0,380356;0,1194
0,00035;-0,381307;0,11924
0,00036;-0,382337;0,11948
0,00037;-0,382337;0,11924
0,00038;-0,383446;0,11944
0,00039;-0,384317;0,12024
0,0004;-0,384554;0,11896
0,00041;-0,386376;0,12056
0,00042;-0,387881;0,11948
0,00043;-0,388119;0,12028
0,00044;-0,388119;0,12016
0,00045;-0,388277;0,12068
0,00046;-0,388515;0,12032
0,00047;-0,388832;0,12124
0,00048;-0,388673;0,12092
0,00049;-0,391208;0,12128
0,0005;-0,393347;0,12132
0,00051;-0,394614;0,12168
0,00052;-0,395564;0,1212
0,00053;-0,395406;0,12172
0,00054;-0,39596;0,12212
0,00055;-0,396198;0,12192
0,00056;-0,396515;0,12232
0,00057;-0,397624;0,12248
0,00058;-0,399921;0,122
0,00059;-0,403248;0,12252
0,0006;-0,403406;0,12308
0,00061;-0,403881;0,12268
0,00062;-0,40404;0,12272
0,00063;-0,404119;0,12312
0,00064;-0,404356;0,12288
0,00065;-0,404832;0,12268
0,00066;-0,406099;0,1234
0,00067;-0,407921;0,1224
0,00068;-0,410059;0,12284
0,00069;-0,411089;0,1228
0,0007;-0,411327;0,12252
0,00071;-0,411723;0,12272
0,00072;-0,411881;0,12256
0,00073;-0,411881;0,12224
0,00074;-0,41196;0,12268
0,00075;-0,412356;0,12252
0,00076;-0,412356;0,12216
0,00077;-0,413624;0,1226
0,00078;-0,416792;0,12212
0,00079;-0,41703;0,12252
0,0008;-0,417663;0,1224
0,00081;-0,419089;0,12132
0,00082;-0,418535;0,12128
0,00083;-0,418455;0,12168
0,00084;-0,419564;0,12076
0,00085;-0,419881;0,12044
0,00086;-0,41996;0,12008
0,00087;-0,420436;0,11988
0,00088;-0,421545;0,12056
0,00089;-0,422337;0,1202
0,0009;-0,424158;0,11992
0,00091;-0,423604;0,12044
0,00092;-0,425663;0,11936
0,00093;-0,426376;0,12012
0,00094;-0,427485;0,12008
0,00095;-0,42796;0,12004
0,00096;-0,428911;0,12016
0,00097;-0,430178;0,1196
0,00098;-0,432475;0,12008
0,00099;-0,434297;0,11992
0,001;-0,435406;0,11956
0,00101;-0,435485;0,12004
0,00102;-0,435723;0,11916
0,00103;-0,435802;0,11984
0,00104;-0,436198;0,11972
0,00105;-0,436832;0,11928
0,00106;-0,437228;0,11968
0,00107;-0,437703;0,11812
0,00108;-0,440079;0,1198
0,00109;-0,440792;0,11832
0,0011;-0,442376;0,11804
0,00111;-0,442455;0,11836
0,00112;-0,443248;0,11648
0,00113;-0,443327;0,11848
0,00114;-0,443248;0,11668
0,00115;-0,443564;0,11716
0,00116;-0,443564;0,11732
0,00117;-0,443564;0,1156
0,00118;-0,443644;0,1176
0,00119;-0,444119;0,11516
0,0012;-0,446178;0,11752
0,00121;-0,445069;0,115
0,00122;-0,448713;0,11556
0,00123;-0,445941;0,11616
0,00124;-0,449188;0,11424
0,00125;-0,449347;0,11656
0,00126;-0,450297;0,11308
0,00127;-0,450535;0,1164
0,00128;-0,450931;0,1132
0,00129;-0,451485;0,1146
0,0013;-0,45101;0,11396
0,00131;-0,451406;0,11256
0,00132;-0,451644;0,11512
0,00133;-0,451723;0,11108
0,00134;-0,452832;0,11532
0,00135;-0,45204;0,11072
0,00136;-0,45497;0,11424
0,00137;-0,451802;0,11
0,00138;-0,457267;0,11192
0,00139;-0,453465;0,11072
0,0014;-0,458772;0,1092
0,00141;-0,456079;0,1108
0,00142;-0,457743;0,10708
0,00143;-0,457267;0,11124
0,00144;-0,458693;0,1056
0,00145;-0,459723;0,11068
0,00146;-0,45901;0,10524
0,00147;-0,459723;0,10876
0,00148;-0,458614;0,10492
0,00149;-0,460911;0,10768
0,0015;-0,459406;0,1048
0,00151;-0,462178;0,10512
0,00152;-0,459168;0,10492
0,00153;-0,461782;0,10364
0,00154;-0,460832;0,10496
0,00155;-0,463446;0,10192
0,00156;-0,461069;0,10536
0,00157;-0,462891;0,09988
0,00158;-0,462891;0,10512
0,00159;-0,463366;0,09932
0,0016;-0,465505;0,10368
0,00161;-0,46305;0,09816
0,00162;-0,466614;0,1022
0,00163;-0,464;0,0974
0,00164;-0,467248;0,10088
0,00165;-0,463762;0,09796
0,00166;-0,466772;0,09872
