"t / s";"CH1 / V";"CH2 / V"
0;0,420594;0,09696
1e-05;0,430099;0,10036
2e-05;0,430733;0,10076
3e-05;0,434931;0,10136
4e-05;0,433347;0,10164
5e-05;0,43398;0,10264
6e-05;0,435327;0,10352
7e-05;0,435248;0,1036
8e-05;0,435644;0,10368
9e-05;0,435723;0,1038
0,0001;0,459802;0,11916
0,00011;0,469228;0,124
0,00012;0,468673;0,12396
0,00013;0,470257;0,124
0,00014;0,472554;0,12412
0,00015;0,469861;0,12428
0,00016;0,473267;0,12468
0,00017;0,469069;0,12536
0,00018;0,473901;0,12552
0,00019;0,473347;0,12608
0,0002;0,473505;0,12704
0,00021;0,474059;0,12736
0,00022;0,473109;0,12772
0,00023;0,475248;0,12784
0,00024;0,474931;0,12812
0,00025;0,475485;0,12812
0,00026;0,475089;0,12832
0,00027;0,475723;0,12832
0,00028;0,475327;0,1288
0,00029;0,476198;0,12952
0,0003;0,475723;0,13008
0,00031;0,475485;0,13056
0,00032;0,475881;0,13116
0,00033;0,475327;0,13156
0,00034;0,477941;0,13152
0,00035;0,476515;0,13184
0,00036;0,480554;0,132
0,00037;0,477228;0,132
0,00038;0,481267;0,13208
0,00039;0,477861;0,13204
0,0004;0,480634;0,13228
0,00041;0,477703;0,13276
0,00042;0,481109;0,13304
0,00043;0,482218;0,13376
0,00044;0,481584;0,13388
0,00045;0,482455;0,13452
0,00046;0,481822;0,13516
0,00047;0,482851;0,13556
0,00048;0,482218;0,13572
0,00049;0,482851;0,13564
0,0005;0,482297;0,13588
0,00051;0,483248;0,13596
0,00052;0,483089;0,13612
0,00053;0,483881;0,13608
0,00054;0,482931;0,13616
0,00055;0,483881;0,1364
0,00056;0,483327;0,13664
0,00057;0,48404;0,13708
0,00058;0,484119;0,13704
0,00059;0,48499;0,13788
0,0006;0,48396;0,138
0,00061;0,484832;0,13848
0,00062;0,484752;0,13892
0,00063;0,485228;0,13924
0,00064;0,485149;0,13908
0,00065;0,486178;0,1396
0,00066;0,487129;0,1396
0,00067;0,485307;0,13964
0,00068;0,487762;0,13996
0,00069;0,486178;0,14
0,0007;0,487525;0,14
0,00071;0,487683;0,14
0,00072;0,489347;0,14
0,00073;0,487762;0,14004
0,00074;0,488158;0,14004
0,00075;0,488158;0,14004
0,00076;0,489267;0,14004
0,00077;0,488158;0,14016
0,00078;0,489505;0,1402
0,00079;0,489584;0,14036
0,0008;0,490218;0,14028
0,00081;0,490851;0,14056
0,00082;0,490931;0,1406
0,00083;0,490851;0,14084
0,00084;0,490931;0,1406
0,00085;0,49101;0,14092
0,00086;0,491089;0,14108
0,00087;0,490772;0,1416
0,00088;0,490614;0,14212
0,00089;0,490772;0,14216
0,0009;0,491089;0,14272
0,00091;0,490931;0,14268
0,00092;0,490851;0,14252
0,00093;0,490851;0,14248
0,00094;0,491089;0,14268
0,00095;0,491089;0,14296
0,00096;0,491723;0,14308
0,00097;0,491089;0,14324
0,00098;0,491168;0,14292
0,00099;0,490931;0,14336
0,001;0,491644;0,1432
0,00101;0,491089;0,14344
0,00102;0,491485;0,14364
0,00103;0,490931;0,14356
0,00104;0,491089;0,14344
0,00105;0,491168;0,14372
0,00106;0,491485;0,144
0,00107;0,491802;0,14388
0,00108;0,492356;0,14384
0,00109;0,493149;0,144
0,0011;0,492832;0,14408
0,00111;0,493861;0,14392
0,00112;0,49196;0,14408
0,00113;0,492594;0,14388
0,00114;0,492277;0,14416
0,00115;0,494416;0,14412
0,00116;0,491644;0,14384
0,00117;0,494337;0,14404
0,00118;0,491881;0,14404
0,00119;0,49497;0,1442
0,0012;0,491644;0,14392
0,00121;0,49505;0,14404
0,00122;0,491723;0,1442
0,00123;0,494099;0,14392
0,00124;0,492119;0,14416
0,00125;0,494812;0,14416
0,00126;0,493782;0,1442
0,00127;0,494495;0,14404
0,00128;0,492752;0,14412
0,00129;0,493782;0,14424
0,0013;0,493386;0,14428
0,00131;0,492752;0,14412
0,00132;0,495208;0,14408
0,00133;0,494495;0,14412
0,00134;0,497901;0,144
0,00135;0,493465;0,14404
0,00136;0,496634;0,14412
0,00137;0,491802;0,144
0,00138;0,495842;0,14404
0,00139;0,492832;0,14396
0,0014;0,497426;0,14404
0,00141;0,493861;0,14392
0,00142;0,496634;0,144
0,00143;0,494495;0,14392
0,00144;0,495683;0,14392
0,00145;0,495842;0,144
0,00146;0,495762;0,14388
0,00147;0,49695;0,14384
0,00148;0,494812;0,14372
0,00149;0,497584;0,14392
0,0015;0,493861;0,14388
0,00151;0,49798;0,14368
0,00152;0,494416;0,14368
0,00153;0,498772;0,14368
0,00154;0,49497;0,14352
0,00155;0,497743;0,14304
0,00156;0,495287;0,14316
0,00157;0,496158;0,1432
0,00158;0,496;0,14312
0,00159;0,496317;0,14284
0,0016;0,496792;0,14252
0,00161;0,494337;0,14252
0,00162;0,495366;0,1424
0,00163;0,492832;0,1422
0,00164;0,497426;0,14248
0,00165;0,492119;0,14192
0,00166;0,496317;0,14224
0,00167;0,491327;0,14188
0,00168;0,496475;0,14164
0,00169;0,49402;0,14072
0,0017;0,495683;0,14156
0,00171;0,495287;0,1412
0,00172;0,494257;0,14088
0,00173;0,495446;0,14108
0,00174;0,491881;0,14068
0,00175;0,496475;0,14048
0,00176;0,492119;0,14024
0,00177;0,498218;0,1404
0,00178;0,49204;0,14032
0,00179;0,496713;0,1402
0,0018;0,492436;0,14012
0,00181;0,495921;0,14004
0,00182;0,492673;0,14004
0,00183;0,494099;0,14
0,00184;0,494812;0,14008
0,00185;0,493069;0,14
0,00186;0,496396;0,14
0,00187;0,491406;0,14
0,00188;0,496079;0,13996
0,00189;0,49204;0,14
0,0019;0,495208;0,13996
0,00191;0,491248;0,13992
0,00192;0,493228;0,13988
0,00193;0,493228;0,13944
0,00194;0,49204;0,13952
0,00195;0,494812;0,1398
0,00196;0,490693;0,1392
0,00197;0,492198;0,13912
0,00198;0,489822;0,13884
0,00199;0,492119;0,13888
0,002;0,490772;0,13836
0,00201;0,491881;0,13732
0,00202;0,490772;0,1376
0,00203;0,488317;0,137
0,00204;0,491644;0,1368
0,00205;0,487762;0,13672
0,00206;0,491485;0,13672
0,00207;0,486416;0,13652
0,00208;0,490851;0,13632
0,00209;0,489901;0,1362
0,0021;0,490535;0,13604
0,00211;0,491802;0,1362
0,00212;0,486733;0,13592
0,00213;0,490614;0,13588
0,00214;0,485941;0,1358
0,00215;0,488396;0,13576
0,00216;0,486337;0,13512
0,00217;0,486178;0,13496
0,00218;0,487842;0,13508
0,00219;0,483881;0,13456
0,0022;0,488238;0,13448
0,00221;0,484119;0,13372
0,00222;0,485069;0,13332
0,00223;0,483802;0,13336
0,00224;0,481584;0,13328
0,00225;0,485465;0,13264
0,00226;0,481267;0,1324
0,00227;0,482376;0,13212
0,00228;0,480158;0,13204
0,00229;0,480871;0,13204
0,0023;0,483168;0,13192
0,00231;0,478257;0,13196
0,00232;0,481267;0,13192
0,00233;0,478812;0,13176
0,00234;0,478812;0,13172
0,00235;0,480634;0,13136
0,00236;0,475881;0,13108
0,00237;0,478812;0,13112
0,00238;0,47596;0,1304
0,00239;0,475564;0,1298
0,0024;0,475644;0,12964
0,00241;0,473267;0,12936
0,00242;0,474931;0,1288
0,00243;0,472792;0,1286
0,00244;0,47097;0,1286
0,00245;0,474059;0,12816
0,00246;0,468832;0,12816
0,00247;0,470891;0,12788
0,00248;0,470495;0,12776
0,00249;0,466693;0,12764
0,0025;0,469624;0,12704
0,00251;0,466376;0,12684
0,00252;0,465505;0,12608
0,00253;0,467089;0,12584
0,00254;0,463446;0,12516
0,00255;0,46495;0,12504
0,00256;0,465505;0,12456
0,00257;0,461307;0,12432
0,00258;0,463762;0,12404
0,00259;0,462099;0,12408
0,0026;0,459406;0,12404
0,00261;0,461307;0,12404
0,00262;0,459406;0,12388
0,00263;0,458376;0,12392
0,00264;0,459327;0,12392
0,00265;0,457743;0,1238
0,00266;0,456871;0,12352
0,00267;0,457584;0,12336
0,00268;0,454891;0,12288
