"t / s";"CH1 / V";"CH2 / V"
0;-0,0346;-0,882424
2e-05;-0,03572;-0,902222
4e-05;-0,036;-0,903434
6e-05;-0,036;-0,905051
8e-05;-0,036;-0,908889
0,0001;-0,03596;-0,909293
0,00012;-0,03612;-0,915152
0,00014;-0,0362;-0,91899
0,00016;-0,03652;-0,918586
0,00018;-0,03688;-0,921212
0,0002;-0,03972;-0,935758
0,00022;-0,04116;-0,941818
0,00024;-0,04128;-0,944848
0,00026;-0,04228;-0,947677
0,00028;-0,04292;-0,946061
0,0003;-0,04312;-0,946667
0,00032;-0,04376;-0,948081
0,00034;-0,04384;-0,949899
0,00036;-0,04404;-0,949697
0,00038;-0,04408;-0,949495
0,0004;-0,04432;-0,950909
0,00042;-0,04452;-0,952323
0,00044;-0,04468;-0,953333
0,00046;-0,04528;-0,95596
0,00048;-0,046;-0,956364
0,0005;-0,04672;-0,959192
0,00052;-0,04676;-0,959192
0,00054;-0,04728;-0,96
0,00056;-0,04764;-0,959192
0,00058;-0,04772;-0,96
0,0006;-0,04796;-0,962828
0,00062;-0,04804;-0,964444
0,00064;-0,048;-0,966061
0,00066;-0,048;-0,967677
0,00068;-0,048;-0,966667
0,0007;-0,04808;-0,967677
0,00072;-0,04828;-0,967475
0,00074;-0,04828;-0,968485
0,00076;-0,04836;-0,967273
0,00078;-0,049;-0,967273
0,0008;-0,04948;-0,968283
0,00082;-0,05012;-0,969091
0,00084;-0,05012;-0,967879
0,00086;-0,0506;-0,966061
0,00088;-0,0512;-0,968485
0,0009;-0,0514;-0,967879
0,00092;-0,0516;-0,967273
0,00094;-0,05192;-0,967273
0,00096;-0,05192;-0,969899
0,00098;-0,052;-0,969293
0,001;-0,05208;-0,969697
0,00102;-0,05204;-0,968889
0,00104;-0,052;-0,969091
0,00106;-0,05208;-0,969293
0,00108;-0,0522;-0,970101
0,0011;-0,05224;-0,970505
0,00112;-0,0524;-0,970909
0,00114;-0,05236;-0,970303
0,00116;-0,0528;-0,970707
0,00118;-0,05304;-0,970101
0,0012;-0,05308;-0,970707
0,00122;-0,05348;-0,969697
0,00124;-0,0542;-0,969293
0,00126;-0,05456;-0,968889
0,00128;-0,05476;-0,968081
0,0013;-0,0552;-0,968081
0,00132;-0,0554;-0,964848
0,00134;-0,05548;-0,967879
0,00136;-0,05576;-0,967071
0,00138;-0,05564;-0,968081
0,0014;-0,05584;-0,967273
0,00142;-0,05616;-0,965657
0,00144;-0,05608;-0,964646
0,00146;-0,05616;-0,96303
0,00148;-0,05628;-0,96303
0,0015;-0,05632;-0,964444
0,00152;-0,05664;-0,961818
0,00154;-0,057;-0,96
0,00156;-0,05684;-0,96101
0,00158;-0,05748;-0,95697
0,0016;-0,05732;-0,956768
0,00162;-0,05784;-0,954545
0,00164;-0,0576;-0,955152
0,00166;-0,05868;-0,953535
0,00168;-0,05876;-0,949495
0,0017;-0,0588;-0,947677
