"t / s";"CH1 / V";"CH2 / V"
0;-0,0576;-0,457576
2e-06;-0,0566;-0,363636
4e-06;-0,0566;-0,363636
6e-06;-0,0568;-0,362626
8e-06;-0,0566;-0,359596
1e-05;-0,0566;-0,358586
1,2e-05;-0,0566;-0,362626
1,4e-05;-0,057;-0,363636
1,6e-05;-0,0566;-0,362626
1,8e-05;-0,0558;-0,363636
2e-05;-0,0564;-0,363636
2,2e-05;-0,0578;-0,362626
2,4e-05;-0,0576;-0,362626
2,6e-05;-0,0562;-0,355556
2,8e-05;-0,0564;-0,352525
3e-05;-0,0572;-0,350505
3,2e-05;-0,0566;-0,346465
3,4e-05;-0,0564;-0,352525
3,6e-05;-0,0572;-0,361616
3,8e-05;-0,0568;-0,360606
4e-05;-0,0564;-0,357576
4,2e-05;-0,0566;-0,359596
4,4e-05;-0,057;-0,354545
4,6e-05;-0,0566;-0,348485
4,8e-05;-0,0564;-0,346465
5e-05;-0,0564;-0,344444
5,2e-05;-0,057;-0,344444
5,4e-05;-0,0574;-0,346465
5,6e-05;-0,0572;-0,345455
5,8e-05;-0,0574;-0,347475
6e-05;-0,0564;-0,343434
6,2e-05;-0,0562;-0,350505
6,4e-05;-0,0566;-0,344444
6,6e-05;-0,057;-0,343434
6,8e-05;-0,056;-0,343434
7e-05;-0,0562;-0,343434
7,2e-05;-0,0564;-0,343434
7,4e-05;-0,0564;-0,343434
7,6e-05;-0,0576;-0,343434
7,8e-05;-0,057;-0,343434
8e-05;-0,0562;-0,344444
8,2e-05;-0,056;-0,343434
8,4e-05;-0,0558;-0,343434
8,6e-05;-0,0568;-0,343434
8,8e-05;-0,0566;-0,343434
9e-05;-0,056;-0,343434
9,2e-05;-0,0562;-0,341414
9,4e-05;-0,0566;-0,342424
9,6e-05;-0,0568;-0,343434
9,8e-05;-0,057;-0,343434
0,0001;-0,057;-0,343434
0,000102;-0,0558;-0,283838
0,000104;-0,056;-0,272727
0,000106;-0,056;-0,271717
0,000108;-0,0562;-0,274747
0,00011;-0,0556;-0,273737
0,000112;-0,056;-0,269697
0,000114;-0,0562;-0,263636
0,000116;-0,0558;-0,262626
0,000118;-0,056;-0,262626
0,00012;-0,0558;-0,262626
0,000122;-0,056;-0,262626
0,000124;-0,0564;-0,263636
0,000126;-0,0556;-0,262626
0,000128;-0,056;-0,262626
0,00013;-0,056;-0,264646
0,000132;-0,0558;-0,265657
0,000134;-0,056;-0,262626
0,000136;-0,0556;-0,262626
0,000138;-0,0556;-0,262626
0,00014;-0,0556;-0,262626
0,000142;-0,0558;-0,262626
0,000144;-0,0562;-0,262626
0,000146;-0,056;-0,262626
0,000148;-0,0558;-0,262626
0,00015;-0,0558;-0,262626
0,000152;-0,0562;-0,262626
0,000154;-0,056;-0,262626
0,000156;-0,056;-0,257576
0,000158;-0,0556;-0,261616
0,00016;-0,0562;-0,254545
0,000162;-0,056;-0,260606
0,000164;-0,0562;-0,260606
0,000166;-0,056;-0,261616
