"t / s";"CH1 / V";"CH2 / V"
0;0,00432;0,857374
5e-06;0,00536;0,847677
1e-05;0,00536;0,846465
1,5e-05;0,0052;0,84404
2e-05;0,00584;0,845253
2,5e-05;0,00584;0,840808
3e-05;0,00584;0,833535
3,5e-05;0,00568;0,834343
4e-05;0,00616;0,839596
4,5e-05;0,00592;0,831515
5e-05;0,00512;0,834343
5,5e-05;0,00528;0,830707
6e-05;0,00624;0,830303
6,5e-05;0,00552;0,828283
7e-05;0,00616;0,828283
7,5e-05;0,00592;0,827879
8e-05;0,00592;0,828283
8,5e-05;0,00608;0,828283
9e-05;0,00608;0,827475
9,5e-05;0,00544;0,827475
0,0001;0,00632;0,785859
0,000105;0,0072;0,747475
0,00011;0,00776;0,747071
0,000115;0,00728;0,745455
0,00012;0,0072;0,743838
0,000125;0,00704;0,743434
0,00013;0,0068;0,744646
0,000135;0,00656;0,742222
0,00014;0,00736;0,737374
0,000145;0,0064;0,736162
0,00015;0,00688;0,734949
0,000155;0,00688;0,729293
0,00016;0,00696;0,728081
0,000165;0,00736;0,728889
0,00017;0,00704;0,731717
0,000175;0,0072;0,727677
0,00018;0,00696;0,727273
0,000185;0,00728;0,726869
0,00019;0,0072;0,728081
0,000195;0,00752;0,725253
0,0002;0,00752;0,72404
0,000205;0,00736;0,724848
0,00021;0,00752;0,725657
0,000215;0,0076;0,72404
0,00022;0,00704;0,719192
0,000225;0,00712;0,72
0,00023;0,00704;0,720404
0,000235;0,00744;0,716364
0,00024;0,00752;0,711111
0,000245;0,0076;0,709495
0,00025;0,00744;0,707879
0,000255;0,0072;0,709091
0,00026;0,0068;0,707071
0,000265;0,0072;0,707071
0,00027;0,00704;0,707475
0,000275;0,0072;0,707071
0,00028;0,00672;0,707071
0,000285;0,0072;0,707071
0,00029;0,00712;0,707071
0,000295;0,00736;0,707071
0,0003;0,00744;0,706667
0,000305;0,00736;0,705859
0,00031;0,00712;0,705455
0,000315;0,00696;0,704646
0,00032;0,00712;0,703838
0,000325;0,00736;0,700606
0,00033;0,00728;0,703434
0,000335;0,00712;0,701818
0,00034;0,00688;0,69697
0,000345;0,0072;0,692121
0,00035;0,00728;0,692121
0,000355;0,00728;0,692929
0,00036;0,00728;0,689293
0,000365;0,00752;0,687273
0,00037;0,00688;0,687273
0,000375;0,00728;0,688485
0,00038;0,00696;0,687273
0,000385;0,00728;0,686869
0,00039;0,00712;0,686465
0,000395;0,00736;0,686465
0,0004;0,00712;0,685657
0,000405;0,00688;0,680808
0,00041;0,00664;0,68202
0,000415;0,00712;0,683636
0,00042;0,00664;0,683636
0,000425;0,00688;0,67798
0,00043;0,00728;0,672727
0,000435;0,00704;0,678384
0,00044;0,00736;0,676768
0,000445;0,00696;0,669091
0,00045;0,00688;0,667071
0,000455;0,00664;0,667475
0,00046;0,00736;0,667879
0,000465;0,0064;0,666667
0,00047;0,00664;0,666667
0,000475;0,0068;0,667071
0,00048;0,00664;0,666667
0,000485;0,00712;0,665859
0,00049;0,00696;0,665051
0,000495;0,00704;0,666263
0,0005;0,00648;0,665859
0,000505;0,0068;0,65899
0,00051;0,0068;0,655758
0,000515;0,00664;0,658182
0,00052;0,00632;0,665051
0,000525;0,00648;0,657778
0,00053;0,00624;0,649697
0,000535;0,00608;0,648889
0,00054;0,0068;0,652929
0,000545;0,00672;0,647677
0,00055;0,00648;0,646465
0,000555;0,0072;0,645657
0,00056;0,00728;0,647677
0,000565;0,00672;0,646869
0,00057;0,00712;0,644848
0,000575;0,00712;0,645657
0,00058;0,0064;0,646061
0,000585;0,00736;0,646061
0,00059;0,00704;0,64
0,000595;0,0072;0,638788
0,0006;0,00712;0,640808
0,000605;0,00776;0,64202
0,00061;0,00688;0,631919
0,000615;0,00712;0,628283
0,00062;0,00736;0,632727
0,000625;0,0068;0,636768
0,00063;0,00696;0,629091
0,000635;0,00688;0,627071
0,00064;0,00672;0,626263
0,000645;0,00672;0,627879
0,00065;0,00656;0,626263
0,000655;0,00632;0,626263
0,00066;0,00672;0,626263
0,000665;0,00648;0,626263
0,00067;0,006;0,626263
0,000675;0,00656;0,624646
0,00068;0,00664;0,624242
0,000685;0,00632;0,626263
0,00069;0,00664;0,626263
0,000695;0,0068;0,616566
0,0007;0,00664;0,612525
0,000705;0,00656;0,617374
0,00071;0,00616;0,619394
0,000715;0,00648;0,608081
0,00072;0,00648;0,607273
0,000725;0,00616;0,612525
0,00073;0,00648;0,616566
0,000735;0,006;0,606465
0,00074;0,00664;0,606061
0,000745;0,00672;0,606061
0,00075;0,00568;0,608081
0,000755;0,00648;0,605657
0,00076;0,00656;0,604444
0,000765;0,00688;0,606061
0,00077;0,00648;0,606465
0,000775;0,00592;0,605253
0,00078;0,00632;0,6
0,000785;0,00608;0,596768
0,00079;0,00664;0,603636
0,000795;0,00632;0,601616
0,0008;0,00608;0,589899
0,000805;0,00648;0,587475
0,00081;0,006;0,595556
0,000815;0,00648;0,595556
0,00082;0,00576;0,586667
0,000825;0,00592;0,585859
0,00083;0,0064;0,588283
0,000835;0,006;0,588687
0,00084;0,00616;0,585859
0,000845;0,00616;0,585455
0,00085;0,00576;0,585859
0,000855;0,00624;0,585859
0,00086;0,006;0,584646
0,000865;0,00632;0,577374
0,00087;0,00632;0,581818
0,000875;0,00616;0,585859
0,00088;0,00552;0,58303
0,000885;0,00552;0,571717
0,00089;0,00632;0,569293
0,000895;0,00632;0,578182
0,0009;0,00552;0,576162
0,000905;0,00584;0,566465
0,00091;0,00624;0,565657
0,000915;0,00608;0,567677
0,00092;0,00576;0,566869
0,000925;0,0056;0,565657
0,00093;0,006;0,563636
0,000935;0,0068;0,565657
0,00094;0,00608;0,566869
0,000945;0,00592;0,563636
0,00095;0,00576;0,556364
0,000955;0,00608;0,562424
0,00096;0,00696;0,565253
0,000965;0,00616;0,560808
0,00097;0,00584;0,549091
0,000975;0,00536;0,552727
0,00098;0,006;0,559596
0,000985;0,00528;0,550303
0,00099;0,00608;0,545859
0,000995;0,00632;0,548283
0,001;0,0064;0,553535
0,001005;0,00488;0,545455
0,00101;0,00592;0,545455
0,001015;0,00568;0,545859
0,00102;0,00616;0,545859
0,001025;0,00592;0,545859
0,00103;0,00568;0,545051
0,001035;0,00592;0,544242
0,00104;0,00608;0,545455
0,001045;0,00544;0,545455
0,00105;0,00504;0,540202
0,001055;0,00536;0,535354
0,00106;0,00592;0,542222
0,001065;0,00528;0,544646
0,00107;0,0052;0,533737
0,001075;0,0056;0,528081
0,00108;0,00592;0,533737
0,001085;0,0048;0,540606
0,00109;0,00528;0,529293
0,001095;0,00512;0,525657
0,0011;0,00488;0,525657
0,001105;0,00528;0,528081
0,00111;0,00552;0,525253
0,001115;0,00576;0,524848
0,00112;0,0052;0,524848
0,001125;0,00544;0,526465
0,00113;0,00512;0,525253
0,001135;0,00544;0,522424
0,00114;0,0056;0,523232
0,001145;0,00504;0,523636
0,00115;0,00496;0,52404
0,001155;0,00512;0,516768
0,00116;0,0052;0,516364
0,001165;0,00488;0,517576
0,00117;0,00552;0,517576
0,001175;0,00496;0,509091
0,00118;0,006;0,507071
0,001185;0,00512;0,508687
0,00119;0,00568;0,512323
0,001195;0,00472;0,506263
0,0012;0,00584;0,505051
0,001205;0,00568;0,504646
0,00121;0,00568;0,505051
0,001215;0,00512;0,504242
0,00122;0,00544;0,501818
0,001225;0,00512;0,499798
0,00123;0,00496;0,502626
0,001235;0,0044;0,497374
0,00124;0,00536;0,487677
0,001245;0,00592;0,486061
0,00125;0,00496;0,490909
0,001255;0,00464;0,487273
0,00126;0,0048;0,484848
0,001265;0,00576;0,484848
0,00127;0,00512;0,484444
0,001275;0,00496;0,484444
0,00128;0,0048;0,478788
0,001285;0,00552;0,476364
0,00129;0,00488;0,481616
0,001295;0,00528;0,48
0,0013;0,0048;0,469091
0,001305;0,0052;0,464646
0,00131;0,00448;0,465455
0,001315;0,00504;0,466667
0,00132;0,00464;0,465051
0,001325;0,00472;0,464646
0,00133;0,00472;0,464646
0,001335;0,00464;0,465051
0,00134;0,0052;0,463838
0,001345;0,00544;0,46101
0,00135;0,00496;0,462222
0,001355;0,00512;0,462222
0,00136;0,00496;0,457374
0,001365;0,00448;0,452929
0,00137;0,0052;0,453333
0,001375;0,0044;0,452929
0,00138;0,00488;0,450909
0,001385;0,00488;0,445253
0,00139;0,00488;0,445253
0,001395;0,00448;0,445253
0,0014;0,00472;0,445253
0,001405;0,00464;0,444444
0,00141;0,00496;0,444444
0,001415;0,00488;0,444444
0,00142;0,00464;0,444444
0,001425;0,00448;0,44202
0,00143;0,00528;0,438788
0,001435;0,00448;0,441212
0,00144;0,00432;0,440808
0,001445;0,00448;0,431515
0,00145;0,00472;0,426667
0,001455;0,00448;0,426667
0,00146;0,0044;0,425455
0,001465;0,00496;0,424242
0,00147;0,00496;0,424242
0,001475;0,0052;0,424242
0,00148;0,00464;0,424242
0,001485;0,00496;0,423434
0,00149;0,0044;0,422222
0,001495;0,00456;0,423838
0,0015;0,0044;0,420202
0,001505;0,00488;0,41697
0,00151;0,0044;0,408485
0,001515;0,00488;0,410909
0,00152;0,00448;0,414141
0,001525;0,00432;0,406869
0,00153;0,00416;0,40404
0,001535;0,00448;0,404848
0,00154;0,00432;0,40404
0,001545;0,00464;0,40404
0,00155;0,00456;0,402828
0,001555;0,00456;0,402424
0,00156;0,00432;0,403232
0,001565;0,00416;0,402424
0,00157;0,00448;0,400808
0,001575;0,0044;0,39596
0,00158;0,00472;0,397576
0,001585;0,00408;0,391919
0,00159;0,00416;0,387879
0,001595;0,00432;0,385859
0,0016;0,00408;0,386667
0,001605;0,00432;0,385051
0,00161;0,00408;0,384242
0,001615;0,00424;0,383838
0,00162;0,00432;0,383838
0,001625;0,00408;0,383838
0,00163;0,00464;0,383838
0,001635;0,00424;0,381818
0,00164;0,00416;0,383434
0,001645;0,00432;0,38303
0,00165;0,00408;0,375758
0,001655;0,004;0,370505
0,00166;0,00416;0,372525
0,001665;0,00424;0,370909
0,00167;0,0044;0,366869
0,001675;0,00408;0,363636
