"t / s";"CH1 / V";"CH2 / V"
0;-0,0796;0,186869
2e-06;-0,0628;0,222222
4e-06;-0,0616;0,222222
6e-06;-0,061;0,222222
8e-06;-0,061;0,222222
1e-05;-0,0606;0,222222
1,2e-05;-0,0604;0,222222
1,4e-05;-0,06;0,222222
1,6e-05;-0,0602;0,223232
1,8e-05;-0,06;0,222222
2e-05;-0,0602;0,223232
2,2e-05;-0,0602;0,222222
2,4e-05;-0,0596;0,222222
2,6e-05;-0,06;0,222222
2,8e-05;-0,06;0,226263
3e-05;-0,0598;0,226263
3,2e-05;-0,06;0,223232
3,4e-05;-0,0598;0,222222
3,6e-05;-0,0594;0,223232
3,8e-05;-0,06;0,223232
4e-05;-0,0594;0,224242
4,2e-05;-0,0598;0,223232
4,4e-05;-0,0588;0,223232
4,6e-05;-0,059;0,223232
4,8e-05;-0,058;0,224242
5e-05;-0,0582;0,224242
5,2e-05;-0,058;0,225253
5,4e-05;-0,0574;0,225253
5,6e-05;-0,0572;0,225253
5,8e-05;-0,0582;0,226263
6e-05;-0,0576;0,231313
6,2e-05;-0,0568;0,228283
6,4e-05;-0,0564;0,229293
6,6e-05;-0,056;0,224242
6,8e-05;-0,056;0,224242
7e-05;-0,0562;0,230303
7,2e-05;-0,0558;0,230303
7,4e-05;-0,0558;0,232323
7,6e-05;-0,056;0,230303
7,8e-05;-0,0558;0,232323
8e-05;-0,0556;0,232323
8,2e-05;-0,0556;0,234343
8,4e-05;-0,0554;0,234343
8,6e-05;-0,055;0,230303
8,8e-05;-0,0542;0,234343
9e-05;-0,0538;0,239394
9,2e-05;-0,055;0,235354
9,4e-05;-0,0542;0,235354
9,6e-05;-0,0538;0,233333
9,8e-05;-0,0534;0,237374
0,0001;-0,0532;0,235354
0,000102;-0,0484;0,248485
0,000104;-0,0476;0,247475
0,000106;-0,0478;0,250505
0,000108;-0,048;0,245455
0,00011;-0,0476;0,247475
0,000112;-0,0476;0,247475
0,000114;-0,0468;0,246465
0,000116;-0,0468;0,253535
0,000118;-0,0466;0,247475
0,00012;-0,0464;0,250505
0,000122;-0,0458;0,245455
0,000124;-0,0462;0,249495
0,000126;-0,0458;0,250505
0,000128;-0,0454;0,256566
0,00013;-0,0452;0,250505
0,000132;-0,0442;0,252525
