"t / s";"CH1 / V";"CH2 / V"
0;-0,00126733;-0,06592
1e-05;0,00253465;-0,06892
2e-05;0,00475248;-0,0692
3e-05;0,00673267;-0,0704
4e-05;0,00649505;-0,07104
5e-05;0,00720792;-0,07168
6e-05;0,00768317;-0,07204
7e-05;0,00792079;-0,07208
8e-05;0,00792079;-0,07204
9e-05;0,008;-0,07244
0,0001;0,0199604;-0,08968
0,00011;0,0237624;-0,09568
0,00012;0,0237624;-0,09592
0,00013;0,0238416;-0,096
0,00014;0,0250297;-0,0964
0,00015;0,0243168;-0,09664
0,00016;0,0249505;-0,09776
0,00017;0,0256634;-0,09832
0,00018;0,0265347;-0,0988
0,00019;0,0254257;-0,09956
0,0002;0,0266931;-0,0998
0,00021;0,0276436;-0,09988
0,00022;0,0298614;-0,1
0,00023;0,0296238;-0,10004
0,00024;0,0293861;-0,10008
0,00025;0,0293069;-0,10016
0,00026;0,0300198;-0,10076
0,00027;0,0312079;-0,1014
0,00028;0,0312871;-0,1022
0,00029;0,0315248;-0,10312
0,0003;0,0316832;-0,10376
0,00031;0,0316832;-0,1038
0,00032;0,0316832;-0,10404
0,00033;0,0316832;-0,10408
0,00034;0,0316832;-0,1044
0,00035;0,0316832;-0,10488
0,00036;0,0316832;-0,10568
0,00037;0,0319208;-0,107
0,00038;0,0319208;-0,10756
0,00039;0,0320792;-0,10796
0,0004;0,032;-0,10808
0,00041;0,0329505;-0,1082
0,00042;0,032;-0,10868
0,00043;0,0329505;-0,10912
0,00044;0,0337426;-0,1104
0,00045;0,0338218;-0,11148
0,00046;0,0345347;-0,1118
0,00047;0,0366733;-0,11208
0,00048;0,0372277;-0,11232
0,00049;0,0384158;-0,1128
0,0005;0,0394455;-0,11368
0,00051;0,0389703;-0,1146
0,00052;0,0388911;-0,11548
0,00053;0,0391287;-0,11576
0,00054;0,0394455;-0,11584
0,00055;0,0394455;-0,11592
0,00056;0,039604;-0,11616
0,00057;0,039604;-0,11644
0,00058;0,0399208;-0,1166
0,00059;0,0398416;-0,11752
0,0006;0,04;-0,1186
0,00061;0,0403168;-0,11944
0,00062;0,0400792;-0,11992
0,00063;0,0400792;-0,12004
0,00064;0,0427723;-0,12024
0,00065;0,040396;-0,12096
0,00066;0,0430099;-0,1214
0,00067;0,0449109;-0,12292
0,00068;0,0449901;-0,12348
0,00069;0,0449109;-0,124
0,0007;0,0449901;-0,12404
0,00071;0,0466535;-0,12436
0,00072;0,0469703;-0,12476
0,00073;0,0471287;-0,12604
0,00074;0,0475248;-0,1272
0,00075;0,0473663;-0,12776
0,00076;0,0474455;-0,128
0,00077;0,0475248;-0,12816
0,00078;0,0479208;-0,12924
0,00079;0,047604;-0,13012
0,0008;0,047604;-0,13136
0,00081;0,0479208;-0,13184
0,00082;0,0479208;-0,13196
0,00083;0,0484752;-0,13204
0,00084;0,0486337;-0,13204
0,00085;0,048396;-0,1328
0,00086;0,0489505;-0,13344
0,00087;0,0501386;-0,135
0,00088;0,0509307;-0,13568
0,00089;0,0529109;-0,136
0,0009;0,0525149;-0,13628
0,00091;0,0541782;-0,13708
0,00092;0,054099;-0,13844
0,00093;0,054495;-0,13932
0,00094;0,0551287;-0,13956
0,00095;0,0551287;-0,13996
0,00096;0,0554455;-0,14044
0,00097;0,0552871;-0,14112
0,00098;0,0552871;-0,14248
0,00099;0,0552871;-0,1436
0,001;0,0554455;-0,14404
0,00101;0,0555248;-0,14456
0,00102;0,0554455;-0,14588
0,00103;0,0558416;-0,14716
0,00104;0,0559208;-0,1478
0,00105;0,055604;-0,148
0,00106;0,055604;-0,14824
0,00107;0,0555248;-0,15028
0,00108;0,0556832;-0,15144
0,00109;0,0557624;-0,15192
0,0011;0,0559208;-0,1522
0,00111;0,0570297;-0,1528
0,00112;0,0574257;-0,15464
0,00113;0,0581386;-0,1558
0,00114;0,060198;-0,15616
0,00115;0,0607525;-0,15732
0,00116;0,0622574;-0,15836
0,00117;0,061703;-0,15976
0,00118;0,0624158;-0,16024
0,00119;0,0631287;-0,16152
0,0012;0,0632079;-0,16336
0,00121;0,0631287;-0,16388
0,00122;0,0628911;-0,1642
0,00123;0,0633663;-0,16516
0,00124;0,0632871;-0,16688
0,00125;0,0633663;-0,16792
0,00126;0,0633663;-0,16832
0,00127;0,0633663;-0,1692
0,00128;0,0633663;-0,17156
0,00129;0,0633663;-0,17204
0,0013;0,0633663;-0,17248
0,00131;0,063604;-0,17448
0,00132;0,0640792;-0,17592
0,00133;0,064396;-0,1768
0,00134;0,0646337;-0,17808
0,00135;0,0651089;-0,17952
0,00136;0,0644752;-0,18
0,00137;0,0653465;-0,18028
0,00138;0,0662178;-0,18136
0,00139;0,0680396;-0,18364
0,0014;0,0693069;-0,184
0,00141;0,070099;-0,18508
0,00142;0,0690693;-0,18696
0,00143;0,0705743;-0,188
0,00144;0,0709703;-0,18852
0,00145;0,0708119;-0,19032
0,00146;0,0712871;-0,192
0,00147;0,0712871;-0,19244
0,00148;0,0714455;-0,19388
0,00149;0,0712871;-0,19556
0,0015;0,071604;-0,19604
0,00151;0,0716832;-0,19604
0,00152;0,0720792;-0,19744
0,00153;0,0727129;-0,199
0,00154;0,073901;-0,2
0,00155;0,0744554;-0,20032
0,00156;0,0750891;-0,20196
0,00157;0,0754059;-0,20368
0,00158;0,0772277;-0,20408
0,00159;0,078495;-0,205
0,0016;0,078099;-0,20648
0,00161;0,0781782;-0,20776
0,00162;0,0788119;-0,20824
0,00163;0,0793663;-0,20968
0,00164;0,0794455;-0,21136
0,00165;0,0793663;-0,212
0,00166;0,0792079;-0,21208
0,00167;0,079604;-0,21332
0,00168;0,079604;-0,21488
0,00169;0,0789703;-0,21572
0,0017;0,0794455;-0,21612
0,00171;0,0818218;-0,217
0,00172;0,0807921;-0,21844
0,00173;0,080396;-0,21972
0,00174;0,0814257;-0,2204
0,00175;0,0826139;-0,22156
0,00176;0,0833267;-0,22296
0,00177;0,0855446;-0,224
0,00178;0,0860198;-0,22444
0,00179;0,0863366;-0,22564
0,0018;0,085703;-0,22696
0,00181;0,0847525;-0,22784
