"t / s";"CH1 / V";"CH2 / V"
0;-0,781818;-0,0272
2e-06;-0,616162;-0,034
4e-06;-0,610101;-0,0336
6e-06;-0,612121;-0,0338
8e-06;-0,610101;-0,0338
1e-05;-0,612121;-0,033
1,2e-05;-0,606061;-0,0342
1,4e-05;-0,606061;-0,034
1,6e-05;-0,608081;-0,034
1,8e-05;-0,606061;-0,0348
2e-05;-0,606061;-0,0344
2,2e-05;-0,606061;-0,0348
2,4e-05;-0,608081;-0,0342
2,6e-05;-0,608081;-0,0344
2,8e-05;-0,606061;-0,0348
3e-05;-0,606061;-0,0358
3,2e-05;-0,60404;-0,0346
3,4e-05;-0,606061;-0,0358
3,6e-05;-0,606061;-0,0346
3,8e-05;-0,606061;-0,0354
4e-05;-0,606061;-0,0352
4,2e-05;-0,60202;-0,0342
4,4e-05;-0,6;-0,034
4,6e-05;-0,60202;-0,0348
4,8e-05;-0,60404;-0,0342
5e-05;-0,60202;-0,0338
5,2e-05;-0,60202;-0,0354
5,4e-05;-0,59596;-0,0352
5,6e-05;-0,591919;-0,0356
5,8e-05;-0,587879;-0,0358
6e-05;-0,587879;-0,0348
6,2e-05;-0,589899;-0,035
6,4e-05;-0,579798;-0,036
6,6e-05;-0,581818;-0,0352
6,8e-05;-0,579798;-0,0348
7e-05;-0,579798;-0,0352
7,2e-05;-0,579798;-0,0356
7,4e-05;-0,575758;-0,0358
7,6e-05;-0,569697;-0,0358
7,8e-05;-0,573737;-0,0356
8e-05;-0,567677;-0,0356
8,2e-05;-0,567677;-0,0356
8,4e-05;-0,565657;-0,036
8,6e-05;-0,567677;-0,036
8,8e-05;-0,565657;-0,036
9e-05;-0,563636;-0,036
9,2e-05;-0,567677;-0,036
9,4e-05;-0,565657;-0,036
9,6e-05;-0,565657;-0,036
9,8e-05;-0,565657;-0,036
0,0001;-0,561616;-0,0356
0,000102;-0,565657;-0,0358
0,000104;-0,561616;-0,0358
0,000106;-0,561616;-0,0358
0,000108;-0,561616;-0,0356
0,00011;-0,559596;-0,0358
0,000112;-0,563636;-0,0356
0,000114;-0,563636;-0,036
0,000116;-0,563636;-0,0358
0,000118;-0,557576;-0,0358
0,00012;-0,557576;-0,0358
0,000122;-0,557576;-0,036
0,000124;-0,549495;-0,036
0,000126;-0,539394;-0,036
0,000128;-0,535354;-0,0358
0,00013;-0,539394;-0,036
0,000132;-0,533333;-0,036
0,000134;-0,537374;-0,036
0,000136;-0,535354;-0,0362
0,000138;-0,531313;-0,036
0,00014;-0,527273;-0,036
0,000142;-0,529293;-0,036
0,000144;-0,525253;-0,036
0,000146;-0,525253;-0,036
0,000148;-0,527273;-0,036
0,00015;-0,525253;-0,036
0,000152;-0,533333;-0,036
0,000154;-0,529293;-0,036
0,000156;-0,527273;-0,036
0,000158;-0,525253;-0,0362
0,00016;-0,525253;-0,0362
0,000162;-0,525253;-0,0362
0,000164;-0,525253;-0,036
0,000166;-0,525253;-0,036
0,000168;-0,525253;-0,036
0,00017;-0,525253;-0,036
0,000172;-0,525253;-0,036
0,000174;-0,525253;-0,036
0,000176;-0,523232;-0,036
0,000178;-0,525253;-0,0362
0,00018;-0,525253;-0,0364
0,000182;-0,525253;-0,0364
0,000184;-0,525253;-0,036
0,000186;-0,523232;-0,0362
0,000188;-0,525253;-0,036
0,00019;-0,523232;-0,0362
0,000192;-0,523232;-0,0362
0,000194;-0,519192;-0,036
0,000196;-0,523232;-0,0366
0,000198;-0,521212;-0,0368
0,0002;-0,511111;-0,0368
0,000202;-0,513131;-0,0366
0,000204;-0,511111;-0,0376
0,000206;-0,511111;-0,0368
0,000208;-0,505051;-0,0364
0,00021;-0,505051;-0,0364
0,000212;-0,49697;-0,0364
0,000214;-0,507071;-0,0366
0,000216;-0,50303;-0,037
0,000218;-0,494949;-0,0372
0,00022;-0,494949;-0,0368
0,000222;-0,490909;-0,0374
0,000224;-0,486869;-0,0364
0,000226;-0,484848;-0,0362
0,000228;-0,486869;-0,0362
0,00023;-0,486869;-0,0364
0,000232;-0,490909;-0,0364
0,000234;-0,490909;-0,0366
0,000236;-0,484848;-0,0366
0,000238;-0,484848;-0,037
0,00024;-0,484848;-0,0372
0,000242;-0,484848;-0,0378
0,000244;-0,484848;-0,0388
0,000246;-0,484848;-0,0378
0,000248;-0,484848;-0,0374
0,00025;-0,484848;-0,037
0,000252;-0,484848;-0,0372
0,000254;-0,484848;-0,0372
0,000256;-0,484848;-0,0374
0,000258;-0,484848;-0,0386
0,00026;-0,484848;-0,0378
0,000262;-0,484848;-0,0376
0,000264;-0,484848;-0,0392
0,000266;-0,484848;-0,0396
0,000268;-0,484848;-0,0384
0,00027;-0,484848;-0,0386
0,000272;-0,484848;-0,0382
0,000274;-0,484848;-0,0384
0,000276;-0,482828;-0,0382
0,000278;-0,482828;-0,0382
0,00028;-0,480808;-0,0386
0,000282;-0,482828;-0,0388
0,000284;-0,476768;-0,0386
0,000286;-0,476768;-0,0392
0,000288;-0,472727;-0,0394
0,00029;-0,472727;-0,0394
0,000292;-0,478788;-0,039
0,000294;-0,464646;-0,0394
0,000296;-0,462626;-0,039
0,000298;-0,464646;-0,0392
0,0003;-0,452525;-0,0396
0,000302;-0,454545;-0,0394
0,000304;-0,460606;-0,0392
0,000306;-0,450505;-0,0396
0,000308;-0,446465;-0,0396
0,00031;-0,446465;-0,0396
0,000312;-0,444444;-0,0392
0,000314;-0,448485;-0,0398
0,000316;-0,444444;-0,0396
0,000318;-0,446465;-0,0392
