"t / s";"CH1 / V";"CH2 / V"
0;-1,02626;-0,004
5e-06;-0,969697;-0,004
1e-05;-0,969697;-0,00392
1,5e-05;-0,969697;-0,00384
2e-05;-0,969697;-0,00384
2,5e-05;-0,969697;-0,00392
3e-05;-0,969697;-0,004
3,5e-05;-0,969697;-0,00392
4e-05;-0,967273;-0,00384
4,5e-05;-0,968081;-0,00384
5e-05;-0,96404;-0,004
5,5e-05;-0,963232;-0,004
6e-05;-0,955152;-0,00368
6,5e-05;-0,948687;-0,00392
7e-05;-0,936566;-0,00384
7,5e-05;-0,941414;-0,00384
8e-05;-0,933333;-0,004
8,5e-05;-0,930101;-0,004
9e-05;-0,930101;-0,004
9,5e-05;-0,929293;-0,00392
0,0001;-0,863838;-0,00352
0,000105;-0,795152;-0,00392
0,00011;-0,790303;-0,00392
0,000115;-0,788687;-0,004
0,00012;-0,777374;-0,00392
0,000125;-0,777374;-0,00392
0,00013;-0,772525;-0,00384
0,000135;-0,772525;-0,00376
0,00014;-0,768485;-0,00368
0,000145;-0,767677;-0,00392
0,00015;-0,767677;-0,00392
0,000155;-0,766869;-0,00376
0,00016;-0,767677;-0,00368
0,000165;-0,766061;-0,0036
0,00017;-0,761212;-0,00368
0,000175;-0,762828;-0,00368
0,00018;-0,755556;-0,00392
0,000185;-0,749091;-0,00352
0,00019;-0,745051;-0,00384
0,000195;-0,73697;-0,00376
0,0002;-0,732121;-0,00384
0,000205;-0,728889;-0,00392
0,00021;-0,728081;-0,00384
0,000215;-0,727273;-0,00352
0,00022;-0,727273;-0,00368
0,000225;-0,726465;-0,00368
0,00023;-0,725657;-0,004
0,000235;-0,725657;-0,00376
0,00024;-0,725657;-0,00368
0,000245;-0,72;-0,00368
0,00025;-0,72;-0,00376
0,000255;-0,716768;-0,00376
0,00026;-0,713535;-0,0036
0,000265;-0,700606;-0,00336
0,00027;-0,692525;-0,00368
0,000275;-0,688485;-0,00336
0,00028;-0,690909;-0,00368
0,000285;-0,686869;-0,00312
0,00029;-0,686869;-0,0036
0,000295;-0,686869;-0,00384
0,0003;-0,686869;-0,00368
0,000305;-0,686869;-0,00352
0,00031;-0,686061;-0,00392
0,000315;-0,685253;-0,00352
0,00032;-0,686869;-0,0036
0,000325;-0,684444;-0,00368
0,00033;-0,681212;-0,0036
0,000335;-0,68202;-0,00352
0,00034;-0,674747;-0,00352
0,000345;-0,675556;-0,00368
0,00035;-0,660202;-0,0036
0,000355;-0,652929;-0,00376
0,00036;-0,653737;-0,00384
0,000365;-0,652121;-0,00368
0,00037;-0,648889;-0,00384
0,000375;-0,646465;-0,00328
0,00038;-0,647273;-0,00328
0,000385;-0,646465;-0,00336
0,00039;-0,646465;-0,00352
0,000395;-0,646465;-0,00384
0,0004;-0,646465;-0,00344
0,000405;-0,646465;-0,0032
0,00041;-0,645657;-0,00352
0,000415;-0,645657;-0,00368
0,00042;-0,641616;-0,0036
0,000425;-0,642424;-0,0032
0,00043;-0,631919;-0,00344
0,000435;-0,630303;-0,0032
0,00044;-0,627879;-0,00304
0,000445;-0,618182;-0,00328
0,00045;-0,614141;-0,0032
0,000455;-0,606869;-0,00328
0,00046;-0,606061;-0,00376
0,000465;-0,606061;-0,00368
0,00047;-0,606061;-0,00352
0,000475;-0,605253;-0,00344
0,00048;-0,605253;-0,0032
0,000485;-0,605253;-0,0036
0,00049;-0,602828;-0,00336
0,000495;-0,599596;-0,00344
0,0005;-0,591515;-0,0032
0,000505;-0,587475;-0,00288
0,00051;-0,581818;-0,0032
0,000515;-0,576162;-0,00288
0,00052;-0,573737;-0,0032
0,000525;-0,567273;-0,00352
0,00053;-0,567273;-0,00312
0,000535;-0,567273;-0,00352
0,00054;-0,565657;-0,0036
0,000545;-0,564848;-0,00304
0,00055;-0,563232;-0,00344
0,000555;-0,56;-0,00288
0,00056;-0,556768;-0,0028
0,000565;-0,549495;-0,00344
0,00057;-0,545455;-0,0036
0,000575;-0,540606;-0,0032
0,00058;-0,534141;-0,00312
0,000585;-0,534949;-0,00264
0,00059;-0,528485;-0,0028
0,000595;-0,526061;-0,00344
0,0006;-0,526061;-0,00328
0,000605;-0,525253;-0,00352
0,00061;-0,525253;-0,00336
0,000615;-0,525253;-0,00288
0,00062;-0,524444;-0,00336
0,000625;-0,525253;-0,00296
0,00063;-0,525253;-0,0032
0,000635;-0,525253;-0,0032
0,00064;-0,52202;-0,00312
0,000645;-0,52202;-0,00368
0,00065;-0,511515;-0,00304
0,000655;-0,506667;-0,00288
0,00066;-0,505051;-0,00328
0,000665;-0,491313;-0,0032
0,00067;-0,491313;-0,00296
0,000675;-0,489697;-0,00272
0,00068;-0,486465;-0,00296
0,000685;-0,486465;-0,00272
0,00069;-0,484848;-0,00344
0,000695;-0,484848;-0,00312
0,0007;-0,484848;-0,00336
0,000705;-0,484848;-0,00352
0,00071;-0,484848;-0,00272
0,000715;-0,484848;-0,00296
0,00072;-0,48404;-0,00312
0,000725;-0,483232;-0,00296
0,00073;-0,477576;-0,0028
