"t / s";"CH1 / V";"CH2 / V"
0;0,618182;-0,1366
2e-06;0,808081;-0,1538
4e-06;0,810101;-0,1532
6e-06;0,810101;-0,1534
8e-06;0,810101;-0,1542
1e-05;0,812121;-0,1544
1,2e-05;0,808081;-0,1546
1,4e-05;0,812121;-0,155
1,6e-05;0,810101;-0,155
1,8e-05;0,814141;-0,1548
2e-05;0,808081;-0,1544
2,2e-05;0,816162;-0,155
2,4e-05;0,812121;-0,155
2,6e-05;0,814141;-0,1554
2,8e-05;0,814141;-0,156
3e-05;0,820202;-0,156
3,2e-05;0,830303;-0,156
3,4e-05;0,830303;-0,156
3,6e-05;0,828283;-0,156
3,8e-05;0,838384;-0,156
4e-05;0,836364;-0,156
4,2e-05;0,838384;-0,156
4,4e-05;0,840404;-0,156
4,6e-05;0,840404;-0,1562
4,8e-05;0,836364;-0,1562
5e-05;0,844444;-0,156
5,2e-05;0,846465;-0,1564
5,4e-05;0,848485;-0,1566
5,6e-05;0,842424;-0,1564
5,8e-05;0,844444;-0,1562
6e-05;0,846465;-0,1572
6,2e-05;0,846465;-0,1578
6,4e-05;0,848485;-0,158
6,6e-05;0,848485;-0,158
6,8e-05;0,848485;-0,1586
7e-05;0,848485;-0,1588
7,2e-05;0,848485;-0,159
7,4e-05;0,848485;-0,159
7,6e-05;0,848485;-0,1596
7,8e-05;0,848485;-0,1596
8e-05;0,850505;-0,1594
8,2e-05;0,850505;-0,1592
8,4e-05;0,852525;-0,1598
8,6e-05;0,852525;-0,16
8,8e-05;0,848485;-0,1598
9e-05;0,848485;-0,1596
9,2e-05;0,848485;-0,1598
9,4e-05;0,852525;-0,16
9,6e-05;0,854545;-0,16
9,8e-05;0,858586;-0,16
0,0001;0,862626;-0,1602
0,000102;0,925253;-0,1696
0,000104;0,933333;-0,172
0,000106;0,933333;-0,172
0,000108;0,939394;-0,1718
0,00011;0,941414;-0,172
0,000112;0,941414;-0,172
0,000114;0,947475;-0,172
0,000116;0,943434;-0,172
0,000118;0,937374;-0,1726
0,00012;0,949495;-0,173
0,000122;0,957576;-0,1726
0,000124;0,965657;-0,174
0,000126;0,965657;-0,174
0,000128;0,957576;-0,1736
0,00013;0,965657;-0,1744
0,000132;0,963636;-0,1736
0,000134;0,961616;-0,1744
0,000136;0,967677;-0,1748
0,000138;0,969697;-0,1748
0,00014;0,967677;-0,1748
0,000142;0,969697;-0,1742
0,000144;0,969697;-0,1752
0,000146;0,969697;-0,1754
0,000148;0,969697;-0,1754
0,00015;0,969697;-0,1758
0,000152;0,969697;-0,1758
0,000154;0,969697;-0,1762
0,000156;0,969697;-0,1764
0,000158;0,969697;-0,1764
0,00016;0,969697;-0,1768
0,000162;0,969697;-0,1768
0,000164;0,969697;-0,1778
0,000166;0,969697;-0,177
0,000168;0,971717;-0,1774
0,00017;0,969697;-0,1784
0,000172;0,969697;-0,1778
0,000174;0,969697;-0,1782
0,000176;0,969697;-0,1778
0,000178;0,969697;-0,179
0,00018;0,971717;-0,1786
0,000182;0,969697;-0,179
0,000184;0,969697;-0,179
0,000186;0,969697;-0,1796
0,000188;0,971717;-0,1798
0,00019;0,969697;-0,1798
0,000192;0,969697;-0,18
0,000194;0,977778;-0,18
0,000196;0,979798;-0,18
0,000198;0,979798;-0,18
0,0002;0,985859;-0,18
0,000202;0,989899;-0,18
0,000204;0,989899;-0,18
0,000206;1;-0,1806
0,000208;0,99596;-0,1802
