"t / s";"CH1 / V";"CH2 / V"
0;-1,60566;0,31376
1e-05;-1,63596;0,31224
2e-05;-1,64364;0,31196
3e-05;-1,64566;0,31192
4e-05;-1,64444;0,31112
5e-05;-1,65253;0,311
6e-05;-1,65253;0,3098
7e-05;-1,65495;0,30856
8e-05;-1,65657;0,30816
9e-05;-1,65576;0,308
0,0001;-1,68646;0,26232
0,00011;-1,69535;0,24636
0,00012;-1,69455;0,24408
0,00013;-1,69576;0,24292
0,00014;-1,69616;0,2404
0,00015;-1,69414;0,23972
0,00016;-1,69616;0,23784
0,00017;-1,69657;0,23624
0,00018;-1,69616;0,2352
0,00019;-1,69697;0,23248
0,0002;-1,69616;0,23164
0,00021;-1,69495;0,229
0,00022;-1,69657;0,228
0,00023;-1,69535;0,22664
0,00024;-1,69576;0,22468
0,00025;-1,69495;0,22276
0,00026;-1,69455;0,22096
0,00027;-1,69616;0,21984
0,00028;-1,69414;0,21808
0,00029;-1,69616;0,21608
0,0003;-1,69657;0,21436
0,00031;-1,69455;0,21216
0,00032;-1,69455;0,21172
0,00033;-1,69414;0,20928
0,00034;-1,69495;0,20688
0,00035;-1,69576;0,20456
0,00036;-1,69455;0,20396
0,00037;-1,69576;0,20164
0,00038;-1,69495;0,2
0,00039;-1,69657;0,19864
0,0004;-1,69616;0,19624
0,00041;-1,69576;0,19576
0,00042;-1,69616;0,19328
0,00043;-1,69414;0,19184
0,00044;-1,69495;0,1896
0,00045;-1,69495;0,18812
0,00046;-1,69616;0,18748
0,00047;-1,69374;0,18552
0,00048;-1,69616;0,18392
0,00049;-1,69455;0,18332
0,0005;-1,69535;0,1804
0,00051;-1,69535;0,17992
0,00052;-1,69616;0,17764
0,00053;-1,69657;0,17612
0,00054;-1,69657;0,17408
0,00055;-1,69616;0,17224
0,00056;-1,69616;0,17148
0,00057;-1,69576;0,17032
0,00058;-1,69576;0,16804
0,00059;-1,69576;0,16768
0,0006;-1,69455;0,16524
0,00061;-1,69495;0,16404
0,00062;-1,69414;0,16232
0,00063;-1,69455;0,16056
0,00064;-1,69495;0,15928
0,00065;-1,69293;0,15744
0,00066;-1,69293;0,15612
0,00067;-1,69131;0,15584
0,00068;-1,69414;0,15468
0,00069;-1,69414;0,15224
0,0007;-1,69293;0,15168
0,00071;-1,68929;0,15024
0,00072;-1,69374;0,14824
0,00073;-1,69293;0,14788
0,00074;-1,69212;0,14632
0,00075;-1,69172;0,14424
0,00076;-1,69333;0,14352
0,00077;-1,69131;0,14092
0,00078;-1,69131;0,14012
0,00079;-1,69253;0,13908
0,0008;-1,6897;0,13712
0,00081;-1,68606;0,13588
0,00082;-1,68727;0,13524
0,00083;-1,68444;0,13316
0,00084;-1,68566;0,1324
0,00085;-1,68889;0,13128
0,00086;-1,68768;0,13
0,00087;-1,68323;0,12812
0,00088;-1,68323;0,12728
0,00089;-1,68727;0,12548
0,0009;-1,68;0,12412
0,00091;-1,68687;0,12404
0,00092;-1,68283;0,12384
0,00093;-1,68364;0,1218
0,00094;-1,68485;0,12008
0,00095;-1,68364;0,11948
0,00096;-1,68323;0,11788
0,00097;-1,68323;0,11652
0,00098;-1,67434;0,11592
0,00099;-1,67394;0,11536
0,001;-1,67273;0,11296
0,00101;-1,67232;0,1122
0,00102;-1,67273;0,11108
0,00103;-1,6699;0,11004
0,00104;-1,66909;0,10804
0,00105;-1,66788;0,108
0,00106;-1,66586;0,1074
0,00107;-1,66303;0,10596
0,00108;-1,66505;0,10468
0,00109;-1,6598;0,10428
0,0011;-1,66303;0,10376
0,00111;-1,6602;0,10264
0,00112;-1,66263;0,10088
0,00113;-1,65697;0,10004
0,00114;-1,65939;0,0998
0,00115;-1,65697;0,0996
0,00116;-1,65697;0,09776
0,00117;-1,65657;0,09676
0,00118;-1,65657;0,09588
0,00119;-1,65697;0,09456
0,0012;-1,65657;0,0928
0,00121;-1,65657;0,09204
0,00122;-1,65657;0,09196
0,00123;-1,65657;0,09108
0,00124;-1,65657;0,08976
0,00125;-1,65657;0,08812
0,00126;-1,65657;0,08788
0,00127;-1,65616;0,08732
0,00128;-1,65616;0,08544
0,00129;-1,65576;0,08408
0,0013;-1,65535;0,08384
0,00131;-1,65455;0,08276
0,00132;-1,64889;0,08128
0,00133;-1,64606;0,08016
0,00134;-1,64606;0,07984
0,00135;-1,64242;0,0782
0,00136;-1,63394;0,07688
0,00137;-1,63273;0,076
0,00138;-1,62586;0,07592
0,00139;-1,62263;0,07536
0,0014;-1,61737;0,07444
0,00141;-1,61737;0,07248
0,00142;-1,61657;0,07196
0,00143;-1,61616;0,07148
0,00144;-1,61616;0,06968
0,00145;-1,61616;0,06824
0,00146;-1,61616;0,068
0,00147;-1,61616;0,06732
0,00148;-1,61616;0,06552
0,00149;-1,61576;0,06448
0,0015;-1,61616;0,06392
0,00151;-1,61495;0,06332
0,00152;-1,61495;0,06172
0,00153;-1,61535;0,06068
0,00154;-1,61455;0,06004
0,00155;-1,61131;0,06
0,00156;-1,6097;0,0594
0,00157;-1,60525;0,0586
0,00158;-1,59434;0,05676
0,00159;-1,59758;0,05636
0,0016;-1,59838;0,05596
0,00161;-1,58949;0,05584
0,00162;-1,58626;0,05484
0,00163;-1,58505;0,05332
0,00164;-1,5802;0,05228
0,00165;-1,57939;0,05208
0,00166;-1,57859;0,05204
0,00167;-1,57778;0,05192
0,00168;-1,57616;0,05072
0,00169;-1,57616;0,0496
0,0017;-1,57576;0,049
0,00171;-1,57495;0,04816
0,00172;-1,57576;0,04792
0,00173;-1,57374;0,04748
0,00174;-1,57495;0,04704
0,00175;-1,57333;0,04624
0,00176;-1,57374;0,04592
0,00177;-1,57253;0,04448
0,00178;-1,57091;0,04416
0,00179;-1,56525;0,04408
0,0018;-1,56848;0,04396
0,00181;-1,56242;0,04372
0,00182;-1,55758;0,04384
0,00183;-1,55556;0,0436
0,00184;-1,55434;0,04308
0,00185;-1,54949;0,04212
0,00186;-1,54505;0,0412
0,00187;-1,5402;0,04056
0,00188;-1,53899;0,04016
0,00189;-1,53657;0,04012
0,0019;-1,53576;0,04016
0,00191;-1,53495;0,03996
0,00192;-1,53576;0,03984
0,00193;-1,53535;0,03972
0,00194;-1,53495;0,03916
0,00195;-1,53374;0,03868
0,00196;-1,52404;0,03828
0,00197;-1,52566;0,03716
0,00198;-1,51152;0,03688
0,00199;-1,51232;0,037
0,002;-1,50626;0,03648
0,00201;-1,50061;0,03628
0,00202;-1,4998;0,03592
0,00203;-1,49697;0,03608
0,00204;-1,49576;0,03564
0,00205;-1,49535;0,03544
0,00206;-1,49455;0,0346
0,00207;-1,49535;0,03448
0,00208;-1,49253;0,0338
0,00209;-1,49131;0,03344
0,0021;-1,4901;0,03252
0,00211;-1,48323;0,0324
0,00212;-1,47677;0,03204
0,00213;-1,46869;0,032
0,00214;-1,46182;0,03204
0,00215;-1,45778;0,03192
0,00216;-1,45657;0,03128
0,00217;-1,45657;0,03072
0,00218;-1,45495;0,02976
0,00219;-1,45455;0,02932
0,0022;-1,45455;0,02888
0,00221;-1,45374;0,02824
0,00222;-1,45414;0,02824
0,00223;-1,45253;0,02808
0,00224;-1,44566;0,028
0,00225;-1,43919;0,028
0,00226;-1,4396;0,028
0,00227;-1,43354;0,02796
0,00228;-1,43313;0,02772
0,00229;-1,42626;0,02748
0,0023;-1,41859;0,02648
0,00231;-1,41697;0,02608
0,00232;-1,41616;0,02544
0,00233;-1,41333;0,02564
0,00234;-1,41333;0,02488
0,00235;-1,41333;0,02444
0,00236;-1,40889;0,02416
0,00237;-1,40606;0,02404
0,00238;-1,40283;0,024
0,00239;-1,39071;0,02384
0,0024;-1,38667;0,02388
0,00241;-1,38343;0,0234
0,00242;-1,37657;0,0232
0,00243;-1,37455;0,02232
0,00244;-1,37333;0,02176
0,00245;-1,37293;0,02152
0,00246;-1,37091;0,02076
0,00247;-1,3701;0,02052
0,00248;-1,36242;0,02036
0,00249;-1,35111;0,02012
0,0025;-1,34182;0,02004
0,00251;-1,34303;0,02004
0,00252;-1,33576;0,02004
0,00253;-1,33333;0,01988
0,00254;-1,33333;0,01956
0,00255;-1,33333;0,0192
0,00256;-1,33333;0,01876
0,00257;-1,33293;0,01856
0,00258;-1,33333;0,01788
0,00259;-1,33293;0,01792
0,0026;-1,33051;0,01716
0,00261;-1,32646;0,01672
0,00262;-1,32121;0,01624
0,00263;-1,31596;0,01608
0,00264;-1,30586;0,01608
0,00265;-1,29818;0,01592
0,00266;-1,29455;0,01604
0,00267;-1,29293;0,01596
0,00268;-1,29333;0,01564
0,00269;-1,29293;0,01548
0,0027;-1,29293;0,01528
0,00271;-1,29293;0,01508
0,00272;-1,29293;0,01464
0,00273;-1,29212;0,01452
0,00274;-1,29051;0,01416
0,00275;-1,2901;0,01416
0,00276;-1,28646;0,01416
0,00277;-1,27677;0,01328
0,00278;-1,27636;0,0134
0,00279;-1,26667;0,01284
0,0028;-1,26061;0,01264
0,00281;-1,25333;0,01248
0,00282;-1,25253;0,01276
0,00283;-1,25212;0,01224
0,00284;-1,25212;0,01236
0,00285;-1,25172;0,01208
0,00286;-1,24889;0,01208
0,00287;-1,24485;0,01212
0,00288;-1,24081;0,0122
0,00289;-1,23071;0,01204
0,0029;-1,22222;0,012
0,00291;-1,2202;0,01204
0,00292;-1,21414;0,012
0,00293;-1,21293;0,01196
0,00294;-1,21172;0,01196
0,00295;-1,2097;0,01192
0,00296;-1,20889;0,01188
0,00297;-1,20444;0,0118
0,00298;-1,19556;0,01176
0,00299;-1,19273;0,01152
0,003;-1,18586;0,0114
0,00301;-1,18141;0,01156
0,00302;-1,17414;0,01144
0,00303;-1,17253;0,0114
0,00304;-1,17172;0,01084
0,00305;-1,17091;0,01052
0,00306;-1,16808;0,01032
0,00307;-1,1697;0,01072
0,00308;-1,16646;0,01
0,00309;-1,16;0,0102
0,0031;-1,15354;0,01012
0,00311;-1,14828;0,0098
0,00312;-1,13778;0,00908
0,00313;-1,13414;0,00908
0,00314;-1,13414;0,0086
0,00315;-1,13131;0,0086
0,00316;-1,13091;0,0082
0,00317;-1,12929;0,0082
0,00318;-1,12606;0,00812
0,00319;-1,11919;0,008
0,0032;-1,11515;0,0078
0,00321;-1,10465;0,0078
0,00322;-1,10101;0,00728
0,00323;-1,09778;0,00712
0,00324;-1,09253;0,00688
0,00325;-1,09051;0,00688
0,00326;-1,08323;0,00712
0,00327;-1,0804;0,00632
0,00328;-1,07313;0,00572
0,00329;-1,06222;0,00512
0,0033;-1,05535;0,00484
0,00331;-1,05333;0,00452
0,00332;-1,05131;0,00468
0,00333;-1,04848;0,00424
0,00334;-1,0404;0,00412
0,00335;-1,03515;0,004
0,00336;-1,01657;0,00396
0,00337;-1,01293;0,00396
0,00338;-1,0101;0,00372
0,00339;-1,0101;0,00344
0,0034;-1,0097;0,00292
0,00341;-1,00646;0,00252
0,00342;-0,996364;0,0016
0,00343;-0,989091;0,00092
0,00344;-0,975354;0,00052
0,00345;-0,970909;0
0,00346;-0,970101;0
0,00347;-0,969697;-0,00032
0,00348;-0,969697;-0,0006
0,00349;-0,966061;-0,0014
0,0035;-0,960808;-0,002
0,00351;-0,949899;-0,0026
0,00352;-0,937778;-0,00356
0,00353;-0,931313;-0,00388
0,00354;-0,929293;-0,00396
0,00355;-0,927677;-0,004
0,00356;-0,920808;-0,00424
0,00357;-0,914343;-0,00448
0,00358;-0,899798;-0,0048
0,00359;-0,893333;-0,00568
0,0036;-0,890101;-0,00704
0,00361;-0,888889;-0,00736
0,00362;-0,885253;-0,00788
0,00363;-0,876364;-0,00796
0,00364;-0,864242;-0,00812
0,00365;-0,852929;-0,00868
0,00366;-0,850101;-0,00956
0,00367;-0,848485;-0,0102
0,00368;-0,848485;-0,01144
0,00369;-0,846869;-0,01172
0,0037;-0,84;-0,01192
0,00371;-0,831111;-0,012
0,00372;-0,822222;-0,01244
0,00373;-0,811717;-0,01256
0,00374;-0,808889;-0,01444
0,00375;-0,808081;-0,01476
0,00376;-0,808081;-0,015
0,00377;-0,807273;-0,0158
0,00378;-0,805253;-0,01608
0,00379;-0,798384;-0,01628
0,0038;-0,789091;-0,01688
0,00381;-0,772121;-0,0178
0,00382;-0,772121;-0,01824
0,00383;-0,767677;-0,01912
0,00384;-0,767677;-0,0194
0,00385;-0,766465;-0,01976
0,00386;-0,763232;-0,01996
0,00387;-0,74101;-0,02004
0,00388;-0,74101;-0,02008
0,00389;-0,728485;-0,02024
0,0039;-0,727273;-0,02064
0,00391;-0,727273;-0,02172
0,00392;-0,724848;-0,02176
0,00393;-0,71596;-0,02208
0,00394;-0,707071;-0,02296
0,00395;-0,695354;-0,02372
0,00396;-0,690909;-0,02388
0,00397;-0,686869;-0,02396
0,00398;-0,686869;-0,02392
0,00399;-0,686869;-0,02408
0,004;-0,686869;-0,02412
0,00401;-0,685253;-0,02436
0,00402;-0,678788;-0,02488
0,00403;-0,665859;-0,0252
0,00404;-0,651313;-0,02588
0,00405;-0,648889;-0,0266
0,00406;-0,646465;-0,02744
0,00407;-0,646465;-0,02708
0,00408;-0,646465;-0,02748
0,00409;-0,645657;-0,0274
0,0041;-0,644848;-0,02788
0,00411;-0,640808;-0,02792
0,00412;-0,624646;-0,02808
0,00413;-0,613333;-0,028
0,00414;-0,609293;-0,02824
0,00415;-0,606465;-0,02832
0,00416;-0,605253;-0,02844
0,00417;-0,603636;-0,02876
0,00418;-0,594747;-0,02916
0,00419;-0,582626;-0,02936
0,0042;-0,576162;-0,03004
0,00421;-0,566869;-0,03104
0,00422;-0,565657;-0,03164
0,00423;-0,564444;-0,0316
0,00424;-0,557172;-0,03164
0,00425;-0,546667;-0,03176
0,00426;-0,540606;-0,03172
0,00427;-0,528485;-0,0318
0,00428;-0,526465;-0,03212
0,00429;-0,525253;-0,03232
0,0043;-0,525253;-0,03228
0,00431;-0,524444;-0,0324
0,00432;-0,522828;-0,0332
0,00433;-0,514343;-0,03324
0,00434;-0,504242;-0,03328
0,00435;-0,492929;-0,03384
0,00436;-0,486869;-0,03452
0,00437;-0,485657;-0,03484
0,00438;-0,484848;-0,03548
0,00439;-0,484848;-0,0356
0,0044;-0,483232;-0,03568
0,00441;-0,482424;-0,03584
0,00442;-0,474343;-0,03584
