"t / s";"CH1 / V";"CH2 / V"
0;-1,01414;0,0132
2e-06;-1,18182;0,012
4e-06;-1,19192;0,012
6e-06;-1,19394;0,012
8e-06;-1,1899;0,012
1e-05;-1,19192;0,012
1,2e-05;-1,20202;0,012
1,4e-05;-1,20202;0,012
1,6e-05;-1,20202;0,012
1,8e-05;-1,19394;0,012
2e-05;-1,20606;0,012
2,2e-05;-1,2101;0,0118
2,4e-05;-1,20606;0,012
2,6e-05;-1,19798;0,012
2,8e-05;-1,20202;0,012
3e-05;-1,20202;0,012
3,2e-05;-1,20606;0,012
3,4e-05;-1,2101;0,0122
3,6e-05;-1,20808;0,012
3,8e-05;-1,2101;0,012
4e-05;-1,2101;0,012
4,2e-05;-1,21212;0,012
4,4e-05;-1,21212;0,012
4,6e-05;-1,21212;0,012
4,8e-05;-1,21212;0,012
5e-05;-1,21212;0,0118
5,2e-05;-1,21212;0,0118
5,4e-05;-1,21212;0,012
5,6e-05;-1,21414;0,012
5,8e-05;-1,21414;0,0122
6e-05;-1,21414;0,012
6,2e-05;-1,21414;0,012
6,4e-05;-1,21414;0,012
6,6e-05;-1,21414;0,012
6,8e-05;-1,21414;0,012
7e-05;-1,21212;0,012
7,2e-05;-1,21212;0,012
7,4e-05;-1,21414;0,0118
7,6e-05;-1,21616;0,012
7,8e-05;-1,21414;0,0118
8e-05;-1,22222;0,0118
8,2e-05;-1,22828;0,0118
8,4e-05;-1,22424;0,012
8,6e-05;-1,22222;0,0118
8,8e-05;-1,22424;0,0118
9e-05;-1,22424;0,012
9,2e-05;-1,23232;0,0118
9,4e-05;-1,2303;0,0116
9,6e-05;-1,23434;0,012
9,8e-05;-1,22828;0,012
0,0001;-1,23838;0,012
0,000102;-1,25455;0,012
0,000104;-1,25253;0,012
0,000106;-1,25253;0,012
0,000108;-1,25657;0,0116
0,00011;-1,25455;0,0116
0,000112;-1,25657;0,0116
0,000114;-1,25859;0,012
0,000116;-1,25657;0,0118
0,000118;-1,26263;0,012
0,00012;-1,25859;0,0118
0,000122;-1,25657;0,0118
0,000124;-1,25657;0,0118
0,000126;-1,26869;0,012
0,000128;-1,25859;0,0118
0,00013;-1,26263;0,0116
0,000132;-1,26465;0,0118
0,000134;-1,27071;0,0116
