"t / s";"CH1 / V";"CH2 / V"
0;-0,935354;0,01588
1e-05;-0,973333;0,0156
2e-05;-0,976162;0,01532
3e-05;-0,991515;0,01524
4e-05;-1,00162;0,01544
5e-05;-1,00566;0,01548
6e-05;-1,00929;0,01536
7e-05;-1,0101;0,01528
8e-05;-1,0101;0,0154
9e-05;-1,01051;0,01492
0,0001;-1,13414;0,01316
0,00011;-1,17253;0,01236
0,00012;-1,17293;0,01232
0,00013;-1,17535;0,0122
0,00014;-1,18667;0,01228
0,00015;-1,19677;0,01224
0,00016;-1,20323;0,01212
0,00017;-1,20929;0,01212
0,00018;-1,21253;0,01216
0,00019;-1,21172;0,0122
0,0002;-1,21333;0,01204
0,00021;-1,21576;0,01208
0,00022;-1,21576;0,01208
0,00023;-1,22303;0,01208
0,00024;-1,23636;0,01204
0,00025;-1,24364;0,01212
0,00026;-1,24687;0,01196
0,00027;-1,25172;0,01208
0,00028;-1,25253;0,012
0,00029;-1,25333;0,01188
0,0003;-1,25657;0,01204
0,00031;-1,25818;0,01192
0,00032;-1,26141;0,012
0,00033;-1,27434;0,012
0,00034;-1,2804;0,01188
0,00035;-1,28848;0,01196
0,00036;-1,29172;0,01192
0,00037;-1,29293;0,01192
0,00038;-1,29293;0,01192
0,00039;-1,29293;0,01192
0,0004;-1,29293;0,0118
0,00041;-1,29333;0,01192
0,00042;-1,29455;0,01188
0,00043;-1,29535;0,01188
0,00044;-1,3002;0,0118
0,00045;-1,3103;0,01176
0,00046;-1,31394;0,01172
0,00047;-1,31879;0,01136
0,00048;-1,33051;0,01168
0,00049;-1,33131;0,01144
0,0005;-1,33253;0,0112
0,00051;-1,33333;0,0114
0,00052;-1,33333;0,01136
0,00053;-1,33333;0,01088
0,00054;-1,33374;0,01116
0,00055;-1,33374;0,01124
0,00056;-1,33374;0,01068
0,00057;-1,33616;0,01072
0,00058;-1,3398;0,0102
0,00059;-1,34384;0,0102
0,0006;-1,35798;0,01032
0,00061;-1,36364;0,01024
0,00062;-1,36889;0,00988
0,00063;-1,36768;0,00988
0,00064;-1,37212;0,00988
0,00065;-1,37253;0,00956
0,00066;-1,37293;0,00896
0,00067;-1,37374;0,009
0,00068;-1,37616;0,00956
0,00069;-1,37576;0,00868
0,0007;-1,38101;0,00908
0,00071;-1,3798;0,00912
0,00072;-1,38788;0,00852
0,00073;-1,39596;0,00888
0,00074;-1,40081;0,00856
0,00075;-1,40323;0,00852
0,00076;-1,40323;0,00828
