"t / s";"CH1 / V";"CH2 / V"
0;-1,46465;0,0064
2e-06;-1,57778;0,004
4e-06;-1,57778;0,004
6e-06;-1,5798;0,0038
8e-06;-1,57576;0,004
1e-05;-1,5798;0,004
1,2e-05;-1,58586;0,004
1,4e-05;-1,58384;0,0038
1,6e-05;-1,5798;0,0038
1,8e-05;-1,58182;0,004
2e-05;-1,5798;0,004
2,2e-05;-1,58182;0,004
2,4e-05;-1,5899;0,004
2,6e-05;-1,58586;0,004
2,8e-05;-1,58788;0,004
3e-05;-1,58586;0,0038
3,2e-05;-1,5899;0,0038
3,4e-05;-1,58586;0,004
3,6e-05;-1,58788;0,0036
3,8e-05;-1,58384;0,0034
4e-05;-1,59192;0,0038
4,2e-05;-1,5899;0,004
4,4e-05;-1,59394;0,0038
4,6e-05;-1,59192;0,0038
4,8e-05;-1,59394;0,0034
5e-05;-1,59192;0,004
5,2e-05;-1,5899;0,0038
5,4e-05;-1,60606;0,004
5,6e-05;-1,59192;0,004
5,8e-05;-1,59798;0,0038
6e-05;-1,59596;0,0038
6,2e-05;-1,59596;0,0038
6,4e-05;-1,59798;0,0038
6,6e-05;-1,60606;0,0034
6,8e-05;-1,60404;0,0038
7e-05;-1,60202;0,0036
7,2e-05;-1,6;0,004
7,4e-05;-1,60404;0,004
7,6e-05;-1,61212;0,0038
7,8e-05;-1,60808;0,0034
8e-05;-1,60404;0,0034
8,2e-05;-1,60606;0,0038
8,4e-05;-1,6101;0,003
8,6e-05;-1,6101;0,0034
8,8e-05;-1,60808;0,0038
9e-05;-1,61212;0,004
9,2e-05;-1,61212;0,004
9,4e-05;-1,61212;0,0038
9,6e-05;-1,60808;0,0032
9,8e-05;-1,61414;0,0036
0,0001;-1,61414;0,004
0,000102;-1,64444;0,002
0,000104;-1,65253;0,0006
0,000106;-1,65657;0,001
0,000108;-1,65455;0,001
0,00011;-1,65657;0,001
0,000112;-1,65253;0,0006
0,000114;-1,65657;0,0004
0,000116;-1,65657;0,0004
0,000118;-1,65657;0,0006
0,00012;-1,65051;0,0018
0,000122;-1,65657;0,0014
0,000124;-1,65455;0,0008
0,000126;-1,65253;0,0006
0,000128;-1,65657;0,0006
0,00013;-1,65657;0,001
0,000132;-1,65657;0,0006
0,000134;-1,65253;0,0008
0,000136;-1,65657;0,0006
0,000138;-1,65657;0,0012
0,00014;-1,65657;0,0008
0,000142;-1,65253;0,001
0,000144;-1,65657;0,0006
0,000146;-1,65657;0,0004
0,000148;-1,65657;0
0,00015;-1,65657;0,0014
0,000152;-1,65657;0,001
0,000154;-1,65657;0,0008
0,000156;-1,65455;0,0004
0,000158;-1,65455;0,0004
0,00016;-1,65657;0,0006
0,000162;-1,65657;0,0006
0,000164;-1,65657;0,0002
0,000166;-1,65657;0
0,000168;-1,65657;0
0,00017;-1,65657;0,0002
0,000172;-1,65657;0,0002
0,000174;-1,65657;0,0006
0,000176;-1,65657;0,0002
0,000178;-1,65657;0,0004
0,00018;-1,65657;0,0002
0,000182;-1,65657;0,0002
0,000184;-1,65657;0,0002
0,000186;-1,65657;0
0,000188;-1,65657;0,0002
0,00019;-1,65657;0,0002
0,000192;-1,65657;0,0002
0,000194;-1,65657;0,0002
0,000196;-1,65657;0
0,000198;-1,65657;0
0,0002;-1,65657;0,001
0,000202;-1,65657;0,0004
0,000204;-1,65657;0,0002
0,000206;-1,65657;0,0006
0,000208;-1,65657;0,0004
0,00021;-1,65657;0,0002
0,000212;-1,65657;0,0004
0,000214;-1,65657;0,0004
0,000216;-1,65657;0,0002
0,000218;-1,65657;0,0002
0,00022;-1,65657;0,0006
0,000222;-1,65657;0,0002
0,000224;-1,65657;0
0,000226;-1,65657;0
0,000228;-1,65657;0,0002
0,00023;-1,65657;0,0002
0,000232;-1,65657;0,0002
0,000234;-1,65657;0,0006
0,000236;-1,65657;0
0,000238;-1,65657;0
0,00024;-1,65657;0,0002
0,000242;-1,65657;0,0002
0,000244;-1,65657;0,0002
0,000246;-1,65657;0
0,000248;-1,65657;0,0002
0,00025;-1,65657;0,0002
0,000252;-1,65657;0,0004
0,000254;-1,65657;0,0004
0,000256;-1,65657;0,0002
0,000258;-1,65657;0
0,00026;-1,65657;0,0002
0,000262;-1,65657;0,0004
0,000264;-1,65657;0
0,000266;-1,65657;0,0004
0,000268;-1,65657;0
0,00027;-1,65657;0,0004
0,000272;-1,65657;0,0002
0,000274;-1,65657;0
0,000276;-1,65657;0
0,000278;-1,65657;0
0,00028;-1,65657;0,0002
0,000282;-1,65657;-0,0002
0,000284;-1,65657;0,0002
0,000286;-1,65657;0
0,000288;-1,65657;0,0002
0,00029;-1,65657;0
0,000292;-1,65657;0,0002
0,000294;-1,65657;0,0004
0,000296;-1,65657;-0,0002
0,000298;-1,65657;0
0,0003;-1,65657;0
0,000302;-1,65657;0
0,000304;-1,65657;0,0004
0,000306;-1,65859;0
0,000308;-1,65657;0,0004
0,00031;-1,65657;0,0002
0,000312;-1,65657;0,0002
0,000314;-1,65657;0
0,000316;-1,65657;0
0,000318;-1,65657;0,0002
0,00032;-1,65657;0
0,000322;-1,65657;0
0,000324;-1,65657;0
0,000326;-1,65657;-0,0002
0,000328;-1,65657;0
0,00033;-1,65657;0,0002
0,000332;-1,65657;-0,0002
0,000334;-1,65657;0,0002
0,000336;-1,65657;0,0002
0,000338;-1,65657;0
0,00034;-1,65657;0
0,000342;-1,65657;0,0002
0,000344;-1,65657;0
0,000346;-1,65657;0,0004
0,000348;-1,65859;0
0,00035;-1,65657;0
0,000352;-1,65657;0
0,000354;-1,65657;0,0002
0,000356;-1,65859;-0,0004
0,000358;-1,65859;0,0002
0,00036;-1,65657;0,0002
0,000362;-1,65657;0
0,000364;-1,65657;-0,0002
0,000366;-1,65657;0
0,000368;-1,65657;-0,0002
0,00037;-1,65859;0
0,000372;-1,65657;0
0,000374;-1,65657;0
0,000376;-1,65657;-0,0002
0,000378;-1,65657;-0,0002
0,00038;-1,65657;-0,0008
0,000382;-1,65657;0
0,000384;-1,65657;0
0,000386;-1,65657;0
0,000388;-1,65859;0
0,00039;-1,65859;0,0002
0,000392;-1,65859;0
0,000394;-1,65859;0
0,000396;-1,65859;-0,0006
0,000398;-1,65859;-0,0004
0,0004;-1,65657;0
0,000402;-1,65657;0
0,000404;-1,66061;0
0,000406;-1,65859;-0,0002
0,000408;-1,65657;-0,0002
0,00041;-1,65859;-0,0002
0,000412;-1,65859;-0,0004
0,000414;-1,65657;0
0,000416;-1,65859;-0,0002
0,000418;-1,65657;-0,0004
0,00042;-1,65657;0
0,000422;-1,65657;0
0,000424;-1,66465;-0,0002
0,000426;-1,66061;-0,0002
0,000428;-1,65657;-0,0002
0,00043;-1,65657;-0,0002
0,000432;-1,65859;0
0,000434;-1,65657;-0,0004
0,000436;-1,65859;-0,0004
0,000438;-1,66061;-0,0002
0,00044;-1,66263;-0,0004
0,000442;-1,66465;-0,0004
0,000444;-1,65859;-0,0006
0,000446;-1,65657;-0,0002
0,000448;-1,65859;0
0,00045;-1,65859;-0,0006
0,000452;-1,66061;-0,0008
0,000454;-1,66263;-0,0006
0,000456;-1,66061;-0,0012
0,000458;-1,66061;-0,0004
0,00046;-1,66263;-0,0004
0,000462;-1,66061;-0,0004
0,000464;-1,65859;-0,0004
0,000466;-1,66061;-0,0006
0,000468;-1,65859;-0,0006
0,00047;-1,66263;-0,0002
0,000472;-1,66263;0
0,000474;-1,65859;0
0,000476;-1,65859;-0,0004
0,000478;-1,65657;-0,0006
0,00048;-1,65859;-0,0004
0,000482;-1,65657;-0,0006
0,000484;-1,65657;-0,0004
0,000486;-1,66061;-0,0006
0,000488;-1,65657;-0,0004
0,00049;-1,66061;-0,0004
0,000492;-1,66263;-0,0004
0,000494;-1,65859;-0,0006
0,000496;-1,66061;-0,0002
0,000498;-1,66667;-0,0008
0,0005;-1,65859;-0,0004
0,000502;-1,66061;-0,0008
0,000504;-1,66263;-0,0002
0,000506;-1,66667;-0,0006
0,000508;-1,66465;-0,0006
0,00051;-1,66667;-0,0008
0,000512;-1,66061;-0,0006
0,000514;-1,66263;-0,0008
0,000516;-1,66465;-0,0004
0,000518;-1,65859;-0,0008
0,00052;-1,66263;-0,0008
0,000522;-1,66061;-0,0002
0,000524;-1,66263;-0,0004
0,000526;-1,66061;-0,0004
0,000528;-1,65859;-0,0012
0,00053;-1,65859;-0,0006
0,000532;-1,66869;-0,0002
0,000534;-1,66263;-0,0006
0,000536;-1,67677;-0,0004
0,000538;-1,66667;-0,0008
0,00054;-1,66465;-0,0006
0,000542;-1,66263;0
0,000544;-1,66263;-0,0006
0,000546;-1,66263;-0,0008
0,000548;-1,66263;-0,0006
0,00055;-1,66667;-0,0006
0,000552;-1,66667;-0,0006
0,000554;-1,66263;-0,0006
0,000556;-1,66667;-0,001
0,000558;-1,66061;-0,0008
0,00056;-1,67273;-0,0002
0,000562;-1,67071;-0,0008
0,000564;-1,66465;-0,001
0,000566;-1,66061;-0,0006
0,000568;-1,66263;-0,0006
0,00057;-1,66667;-0,0006
0,000572;-1,66869;-0,0006
